organism_full,std_status,std_tested_list,std_missing_list,count
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides","Cephalosporins, Fluoroquinolones, Î²-lactam combination agents",5.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Carbapenems, Lipopeptides, Î²-lactam combination agents","Cephalosporins, Fluoroquinolones, Folate pathway antagonists",4.0
Acinetobacter baumannii,Missing 3,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Aminoglycosides, Carbapenems, Î²-lactam combination agents",3.0
Acinetobacter baumannii,Missing 3,"Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins",2.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Carbapenems, Fluoroquinolones","Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",1097.0
Acinetobacter baumannii,Missing 4,"Carbapenems, Cephalosporins, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",768.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Carbapenems, Cephalosporins","Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",749.0
Acinetobacter baumannii,Missing 4,"Carbapenems, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides",594.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Carbapenems, Î²-lactam combination agents","Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",530.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Cephalosporins, Fluoroquinolones","Carbapenems, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",483.0
Acinetobacter baumannii,Missing 4,"Carbapenems, Cephalosporins, Fluoroquinolones","Aminoglycosides, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",350.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Carbapenems, Folate pathway antagonists","Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",208.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Cephalosporins, Î²-lactam combination agents","Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",157.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Cephalosporins, Folate pathway antagonists","Carbapenems, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",147.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Fluoroquinolones, Î²-lactam combination agents","Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides",125.0
Acinetobacter baumannii,Missing 4,"Carbapenems, Fluoroquinolones, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides",121.0
Acinetobacter baumannii,Missing 4,"Carbapenems, Fluoroquinolones, Folate pathway antagonists","Aminoglycosides, Cephalosporins, Lipopeptides, Î²-lactam combination agents",116.0
Acinetobacter baumannii,Missing 4,"Cephalosporins, Fluoroquinolones, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides",104.0
Acinetobacter baumannii,Missing 4,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists","Aminoglycosides, Carbapenems, Lipopeptides, Î²-lactam combination agents",49.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Cephalosporins, Lipopeptides","Carbapenems, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",47.0
Acinetobacter baumannii,Missing 4,"Carbapenems, Folate pathway antagonists, Lipopeptides","Aminoglycosides, Cephalosporins, Fluoroquinolones, Î²-lactam combination agents",41.0
Acinetobacter baumannii,Missing 4,"Carbapenems, Cephalosporins, Folate pathway antagonists","Aminoglycosides, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",37.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Folate pathway antagonists, Î²-lactam combination agents","Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides",36.0
Acinetobacter baumannii,Missing 4,"Carbapenems, Cephalosporins, Lipopeptides","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",27.0
Acinetobacter baumannii,Missing 4,"Carbapenems, Fluoroquinolones, Lipopeptides","Aminoglycosides, Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents",27.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Folate pathway antagonists, Lipopeptides","Carbapenems, Cephalosporins, Fluoroquinolones, Î²-lactam combination agents",8.0
Acinetobacter baumannii,Missing 4,"Cephalosporins, Fluoroquinolones, Lipopeptides","Aminoglycosides, Carbapenems, Folate pathway antagonists, Î²-lactam combination agents",4.0
Acinetobacter baumannii,Missing 4,"Cephalosporins, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists",4.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists","Carbapenems, Cephalosporins, Lipopeptides, Î²-lactam combination agents",3.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Carbapenems, Lipopeptides","Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",1.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Fluoroquinolones, Lipopeptides","Carbapenems, Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents",1.0
Acinetobacter baumannii,Missing 4,"Aminoglycosides, Lipopeptides, Î²-lactam combination agents","Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",1.0
Acinetobacter baumannii,Missing 4,"Carbapenems, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",1.0
Acinetobacter baumannii,Missing 4,"Cephalosporins, Folate pathway antagonists, Lipopeptides","Aminoglycosides, Carbapenems, Fluoroquinolones, Î²-lactam combination agents",1.0
Acinetobacter baumannii,Missing 4,"Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides",1.0
Acinetobacter baumannii,Missing 4,"Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists",1.0
Acinetobacter baumannii,Missing 5,"Carbapenems, Folate pathway antagonists","Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",1174.0
Acinetobacter baumannii,Missing 5,"Carbapenems, Fluoroquinolones","Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",798.0
Acinetobacter baumannii,Missing 5,"Carbapenems, Cephalosporins","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",681.0
Acinetobacter baumannii,Missing 5,"Cephalosporins, Fluoroquinolones","Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",591.0
Acinetobacter baumannii,Missing 5,"Aminoglycosides, Cephalosporins","Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",383.0
Acinetobacter baumannii,Missing 5,"Cephalosporins, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",270.0
Acinetobacter baumannii,Missing 5,"Aminoglycosides, Folate pathway antagonists","Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",219.0
Acinetobacter baumannii,Missing 5,"Aminoglycosides, Î²-lactam combination agents","Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",132.0
Acinetobacter baumannii,Missing 5,"Aminoglycosides, Carbapenems","Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",94.0
Acinetobacter baumannii,Missing 5,"Aminoglycosides, Fluoroquinolones","Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",49.0
Acinetobacter baumannii,Missing 5,"Fluoroquinolones, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides",27.0
Acinetobacter baumannii,Missing 5,"Carbapenems, Lipopeptides","Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",16.0
Acinetobacter baumannii,Missing 5,"Fluoroquinolones, Folate pathway antagonists","Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Î²-lactam combination agents",12.0
Acinetobacter baumannii,Missing 5,"Carbapenems, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",7.0
Acinetobacter baumannii,Missing 5,"Aminoglycosides, Lipopeptides","Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",6.0
Acinetobacter baumannii,Missing 5,"Cephalosporins, Folate pathway antagonists","Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",6.0
Acinetobacter baumannii,Missing 5,"Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",4.0
Acinetobacter baumannii,Missing 5,"Folate pathway antagonists, Lipopeptides","Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Î²-lactam combination agents",2.0
Acinetobacter baumannii,Missing 5,"Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides",2.0
Acinetobacter baumannii,Missing 5,"Cephalosporins, Lipopeptides","Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",1.0
Acinetobacter baumannii,Missing 5,"Fluoroquinolones, Lipopeptides","Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents",1.0
Acinetobacter baumannii,Missing 6,Lipopeptides,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",1132.0
Acinetobacter baumannii,Missing 6,Cephalosporins,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",793.0
Acinetobacter baumannii,Missing 6,Î²-lactam combination agents,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",678.0
Acinetobacter baumannii,Missing 6,Fluoroquinolones,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",228.0
Acinetobacter baumannii,Missing 6,Aminoglycosides,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",213.0
Acinetobacter baumannii,Missing 6,Folate pathway antagonists,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",115.0
Acinetobacter baumannii,Missing 6,Carbapenems,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",96.0
Acinetobacter baumannii,Missing 7,,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",2460.0
Enterobacter spp.,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",Penicillins,399.0
Enterobacter spp.,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents",Folate pathway antagonists,291.0
Enterobacter spp.,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",Fluoroquinolones,116.0
Enterobacter spp.,Missing 1,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",Aminoglycosides,18.0
Enterobacter spp.,Missing 1,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins, Î²-lactam combination agents",Carbapenems,6.0
Enterobacter spp.,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins",Î²-lactam combination agents,2.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Lipopeptides, Penicillins",4712.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Carbapenems, Lipopeptides",1794.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, Î²-lactam combination agents","Folate pathway antagonists, Lipopeptides",1001.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Fluoroquinolones, Lipopeptides",585.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins","Lipopeptides, Î²-lactam combination agents",355.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Folate pathway antagonists, Penicillins",180.0
Enterobacter spp.,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Aminoglycosides, Lipopeptides",34.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Penicillins, Î²-lactam combination agents",16.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Penicillins, Î²-lactam combination agents","Fluoroquinolones, Folate pathway antagonists",14.0
Enterobacter spp.,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents","Aminoglycosides, Folate pathway antagonists",7.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins","Folate pathway antagonists, Î²-lactam combination agents",4.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, Î²-lactam combination agents","Carbapenems, Folate pathway antagonists",3.0
Enterobacter spp.,Missing 2,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Cephalosporins, Lipopeptides",2.0
Enterobacter spp.,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Penicillins",2.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Î²-lactam combination agents","Folate pathway antagonists, Lipopeptides, Penicillins",1112.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, Î²-lactam combination agents","Carbapenems, Fluoroquinolones, Lipopeptides",846.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents","Fluoroquinolones, Lipopeptides, Penicillins",711.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists","Lipopeptides, Penicillins, Î²-lactam combination agents",440.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins","Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",154.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins","Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",136.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins, Î²-lactam combination agents","Fluoroquinolones, Folate pathway antagonists, Lipopeptides",88.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins","Carbapenems, Lipopeptides, Î²-lactam combination agents",55.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Carbapenems, Lipopeptides, Penicillins",31.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, Î²-lactam combination agents","Carbapenems, Folate pathway antagonists, Lipopeptides",17.0
Enterobacter spp.,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Lipopeptides, Penicillins",17.0
Enterobacter spp.,Missing 3,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Penicillins",10.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Penicillins","Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",6.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Î²-lactam combination agents","Fluoroquinolones, Folate pathway antagonists, Penicillins",4.0
Enterobacter spp.,Missing 3,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Cephalosporins, Lipopeptides, Penicillins",4.0
Enterobacter spp.,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Folate pathway antagonists, Penicillins",4.0
