ORGANISM_WHO,Class,Antibiotic
Enterococcus faecium,FLUOROQUINOLONES,norfloxacin
Enterococcus faecium,FOSFOMYCINS,fosfomycin
Enterococcus faecium,PHENICOLS,chloramphenicol
Pseudomonas aeruginosa,β-LACTAM COMBINATION AGENTS,piperacillin/tazobactam
Pseudomonas aeruginosa,CEPHEMS,cefepime
Pseudomonas aeruginosa,CEPHEMS,ceftazidime
Pseudomonas aeruginosa,CARBAPENEMS,imipenem
Pseudomonas aeruginosa,CARBAPENEMS,meropenem
Pseudomonas aeruginosa,LIPOPEPTIDES,colistin
Pseudomonas aeruginosa,AMINOGLYCOSIDES,amikacin
Pseudomonas aeruginosa,AMINOGLYCOSIDES,gentamicin
Pseudomonas aeruginosa,FLUOROQUINOLONES,ciprofloxacin
Pseudomonas aeruginosa,FLUOROQUINOLONES,levofloxacin
Staphylococcus aureus,PENICILLINS,oxacillin
Staphylococcus aureus,PENICILLINS,cefoxitin
Staphylococcus aureus,GLYCOPEPTIDES ,vancomycin
Staphylococcus aureus,AMINOGLYCOSIDES,gentamicin
Staphylococcus aureus,TETRACYCLINES,tetracycline
Staphylococcus aureus,MACROLIDES,erythromycin
Staphylococcus aureus,FLUOROQUINOLONES,ciprofloxacin
Staphylococcus aureus,FLUOROQUINOLONES,levofloxacin
Staphylococcus aureus,FLUOROQUINOLONES,norfloxacin
Staphylococcus aureus,LINCOSAMIDES,clindamycin
Staphylococcus aureus,FOLATE PATHWAY ANTAGONISTS,trimethoprim/sulfamethoxazole
Staphylococcus aureus,LIPOGLYCOPEPTIDES,Teicoplanin
